32	34
86	85
9	46
57	22
20	16
60	48
31	57
24	9
30	65
64	40
58	52
32	40
74	8
59	33
4	81
85	87
92	12
56	50
63	42
45	79
41	35
23	9
38	20
90	53
98	33
1	14
100	16
72	11
96	37
66	100
98	100
9	24
52	82
78	72
41	61
9	20
31	71
33	27
14	11
19	35
16	73
89	100
64	86
89	80
49	51
51	30
67	30
99	29
77	68
40	3
73	39
20	4
21	97
78	14
15	29
27	91
3	54
7	1
58	84
93	51
89	33
14	15
16	73
85	99
15	21
77	41
69	19
29	76
36	76
50	84
29	45
31	43
21	96
88	2
1	61
72	64
40	65
87	28
30	22
78	81
42	81
89	72
55	21
22	62
97	23
35	39
73	63
89	97
79	24
18	63
73	35
22	10
33	100
18	40
20	91
76	99
42	28
64	78
38	62
66	74
